state,01 Upper Crust Count,02 Networked Neighbors Count,03 Movers & Shakers Count,04 Young Digerati Count,05 Country Squires Count,06 Winner's Circle Count,07 Money & Brains Count,08 Gray Power Count,"09 Big Fish, Small Pond Count",10 Executive Suites Count,11 Fast-Track Families Count,12 Cruisin' to Retirement Count,13 Upward Bound Count,14 Kids & Cul-de-Sacs Count,15 New Homesteaders Count,16 Beltway Boomers Count,17 Urban Elders Count,18 Mayberry-ville Count,19 American Dreams Count,20 Empty Nests Count,21 The Cosmopolitans Count,22 Middleburg Managers Count,23 Township Travelers Count,24 Pickup Patriarchs Count,25 Up-and-Comers Count,26 Home Sweet Home Count,27 Big Sky Families Count,28 Country Casuals Count,29 White Picket Fences Count,31 Connected Bohemians Count,30 Pools & Patios Count,32 Traditional Times Count,33 Second City Startups Count,34 Young & Influential Count,35 Urban Achievers Count,36 Toolbelt Traditionalists Count,"37 Bright Lights, Li'l City Count",38 Hometown Retired Count,"39 Kid Country, USA Count",40 Aspiring A-Listers Count,41 Domestic Duos Count,42 Multi-Culti Mosaic Count,43 City Roots Count,44 Country Strong Count,45 Urban Modern Mix Count,46 Heartlanders Count,47 Striving Selfies Count,48 Generation Web Count,49 American Classics Count,50 Metro Grads Count,51 Campers & Camo Count,52 Simple Pleasures Count,53 Lo-Tech Singles Count,54 Struggling Singles Count,"55 Red, White & Blue Count",56 Multi-Culti Families Count,57 Back Country Folks Count,58 Golden Ponds Count,59 New Melting Pot Count,60 Small-Town Collegiates Count,61 Second City Generations Count,62 Crossroad Villagers Count,63 Low-Rise Living Count,64 Family Thrifts Count,65 Young & Rustic Count,66 New Beginnings Count,67 Park Bench Seniors Count,68 Bedrock America Count,99 Unassigned Count
Alabama,5232,3784,7277,0,40190,6530,0,5872,28798,10754,41962,11635,7955,10487,21347,9464,0,23406,0,11895,0,14984,51653,20337,13950,12151,112018,72878,53834,0,9793,23970,7075,9278,0,34713,19372,61231,42634,0,5708,0,0,158176,0,28438,28520,38037,13737,25629,72700,32849,55805,35064,62812,0,192897,77158,15832,36531,12412,32323,0,36494,177031,23379,19667,63219,0
Alaska,1286,2802,1790,0,6723,5050,0,2381,3861,5876,22837,7725,3465,5880,10210,3149,0,8155,0,1729,0,6017,6008,3580,9485,5136,24149,4778,12039,0,3638,2159,1587,628,0,3577,2913,2465,4231,0,667,0,0,13494,0,5494,1037,11239,2620,2539,3585,4927,883,1864,5500,0,3647,3294,4606,6309,2129,1230,0,1062,6451,1206,1503,1068,0
Arizona,22345,23561,29298,29549,92152,43665,36010,31951,60654,34193,21477,53743,22238,48262,22030,38645,8370,45219,54445,87831,51306,61836,41807,16279,41258,39227,21164,19669,33793,29348,62527,70334,34571,25549,85331,59432,25674,29848,26370,37798,48939,101984,87204,37744,121278,20621,28851,31760,39720,21851,33710,43178,29170,21362,18574,96307,56544,42758,19650,13154,32654,46734,153267,5995,36673,14088,15576,11381,0
Arkansas,739,504,1080,0,23117,979,0,1655,12781,6766,13703,6331,5384,5173,17237,4202,0,7911,0,5428,0,8974,14916,12876,8093,8698,70711,45348,42873,0,9415,14047,6875,4814,0,17145,9596,27138,24004,0,4911,0,0,98901,0,25808,22567,15240,10550,17049,48576,29872,18849,14058,60547,0,112138,45425,15023,34979,15149,21346,0,19544,87316,14622,10340,42636,0
California,354091,232728,388576,671817,181443,336624,752210,257779,146904,103740,109371,391863,214079,210031,46443,139276,541557,160453,419149,159292,314835,312729,52445,41556,184619,88922,43424,44067,94617,394656,183670,79128,162132,151068,424012,209628,92978,65009,62309,466917,106169,631180,277542,83448,307445,46620,105442,73894,171059,76497,75019,58026,82226,63408,35148,560133,62320,78810,185975,43114,127258,47189,493117,47956,47770,100300,77539,39982,0
Colorado,29921,38954,47618,54239,114334,52748,36485,33491,48680,37032,121453,49924,36776,55924,21472,30180,8564,79419,62569,33900,71913,52825,27933,13127,39016,18774,17635,13619,32472,78369,24189,24936,13121,20172,64621,33784,19641,14415,11924,30186,18874,44549,29730,45542,39759,21230,45285,52999,27344,34337,22567,24769,13972,19037,17821,25890,18824,20041,18858,20233,18570,11438,50503,5161,15377,17366,10907,11011,0
Connecticut,20882,13233,24496,420,124307,16136,811,24332,90827,18593,38308,57988,25411,14939,18211,18332,675,45680,2244,28974,665,52843,14379,30997,34193,24581,8746,6045,17343,250,19579,45041,13283,19446,1718,54692,32239,21345,11291,509,18925,14620,5794,12949,14405,7589,22605,36128,34236,19939,12297,6087,14038,13847,2296,7038,2053,15649,54002,11289,6863,17937,7823,30510,834,21499,25129,2304,0
Delaware,2633,785,3242,0,15348,1943,0,5152,16493,6115,8641,13964,5136,5064,5518,5462,0,10065,0,8946,0,14635,8256,6085,7009,7708,8125,7553,5657,0,5502,23543,3197,3366,0,15075,11310,8477,6459,0,2909,0,0,11135,0,6014,5847,5200,7951,7169,10193,6051,6197,8222,4812,0,6076,12388,7896,4096,2990,8652,0,5176,5067,5607,5085,5655,0
District of Columbia,2316,1875,2335,57371,0,551,16361,685,0,724,0,270,594,207,0,125,19529,0,16049,112,35047,390,0,0,570,80,0,0,0,69322,40,0,36,141,5701,423,121,0,0,26556,359,10723,3618,0,10343,0,0,792,298,35,0,0,111,115,0,2565,0,0,25,0,67,0,22694,198,0,0,854,0,0
Florida,77416,31368,73100,59834,132730,65274,122922,127878,169909,111708,93078,236671,93011,89740,75111,111844,30670,85722,106599,430828,64342,289843,106956,81603,168867,125106,69356,64195,131310,49042,108324,271542,99008,70777,176092,373718,184559,135114,113894,62166,252745,133001,188883,132763,297558,48217,152269,192036,267082,136946,149265,75898,217746,182018,58259,41667,130588,174806,136193,71837,88377,190209,195125,86024,88888,92289,104759,62620,0
