STATE,SALES_MONTH,CATEGORY_GROUP,TOTAL_DOLLARS
Oregon,2022-09-01,Flower,27152118.19
New Jersey,2022-09-01,Other,605437.10
Louisiana,2022-09-01,Other,38290.47
Virginia,2022-09-01,Concentrates,146045.37
Louisiana,2022-09-01,Concentrates,6189.72
Ontario,2022-09-01,Vapes,26621648.01
Missouri,2022-09-01,Concentrates,2530782.02
Alberta,2022-09-01,Vapes,14342648.05
Colorado,2022-09-01,Concentrates,18410408.66
Michigan,2022-09-01,Other,2743902.51
Montana,2022-09-01,Other,2460545.19
Delaware,2022-09-01,Vapes,700059.28
Ohio,2022-09-01,Vapes,10609431.72
South Dakota,2022-09-01,Pre-Rolls,276678.21
Iowa,2022-09-01,Vapes,205727.96
Alberta,2022-09-01,Pre-Rolls,15731828.59
Maryland,2022-09-01,Edibles,5302129.56
Ontario,2022-09-01,Other,12365315.23
Washington,2022-09-01,Other,4254765.51
Pennsylvania,2022-09-01,Pre-Rolls,0.06
Massachusetts,2022-09-01,Other,5408264.73
New Brunswick,2022-09-01,Concentrates,0.00
Pennsylvania,2022-09-01,Other,4384577.70
Utah,2022-09-01,Flower,1769636.42
Arkansas,2022-09-01,Other,516881.94
Alberta,2022-09-01,Other,5607417.90
California,2022-09-01,Flower,132175423.15
Ontario,2022-09-01,Flower,76343328.99
Ohio,2022-09-01,Pre-Rolls,79180.59
Nunavut,2022-09-01,Other,31931.96
Colorado,2022-09-01,Pre-Rolls,2164761.71
Oregon,2022-09-01,Other,4065979.73
British Columbia,2022-09-01,Concentrates,2610698.69
Illinois,2022-09-01,Edibles,18804131.46
Nova Scotia,2022-09-01,Edibles,601634.30
Oklahoma,2022-09-01,Flower,60578265.25
New Mexico,2022-09-01,Edibles,6066651.93
New Brunswick,2022-09-01,Vapes,471602.35
Saskatchewan,2022-09-01,Concentrates,261513.54
British Columbia,2022-09-01,Vapes,9424433.75
California,2022-09-01,Pre-Rolls,54631323.36
Nova Scotia,2022-09-01,Pre-Rolls,16434.90
Louisiana,2022-09-01,Flower,172758.77
West Virginia,2022-09-01,Vapes,838022.31
Maryland,2022-09-01,Concentrates,2989707.64
Mississippi,2022-09-01,Pre-Rolls,7218.94
Illinois,2022-09-01,Flower,48677045.72
Nova Scotia,2022-09-01,Vapes,41355.41
Vermont,2022-09-01,Pre-Rolls,18456.95
Arkansas,2022-09-01,Concentrates,2313118.43
New Jersey,2022-09-01,Edibles,5858917.38
Newfoundland and Labrador,2022-09-01,Edibles,157442.64
Nevada,2022-09-01,Pre-Rolls,6397945.41
British Columbia,2022-09-01,Flower,20366194.58
Montana,2022-09-01,Concentrates,2584960.70
Michigan,2022-09-01,Pre-Rolls,25993289.85
Oklahoma,2022-09-01,Edibles,29428212.00
Yukon,2022-09-01,Edibles,46108.97
Connecticut,2022-09-01,Flower,4491981.58
New Jersey,2022-09-01,Concentrates,771892.04
Maine,2022-09-01,Vapes,3264999.26
Puerto Rico,2022-09-01,Flower,7747027.66
Vermont,2022-09-01,Edibles,155351.70
Virginia,2022-09-01,Flower,1289786.61
