STATE,SALES_MONTH,COUNT(    DISTINCT MASTER_ID)
South Carolina,2023-12-01,1
Northern Mariana Islands,2023-11-01,1
Ontario,2025-09-01,1648
Michigan,2025-05-01,840
Washington,2024-06-01,470
Puerto Rico,2025-06-01,277
Rhode Island,2023-11-01,8
Ontario,2025-02-01,1619
Ontario,2025-12-01,1608
Ontario,2023-08-01,1657
Washington,2024-12-01,472
Maryland,2022-09-01,110
New Mexico,2025-07-01,571
Ontario,2024-06-01,1666
Ontario,2024-07-01,1660
Michigan,2023-03-01,704
Missouri,2024-08-01,206
Massachusetts,2023-06-01,345
British Columbia,2023-06-01,432
New Jersey,2024-11-01,206
Illinois,2025-05-01,252
Vermont,2024-08-01,89
Pennsylvania,2025-06-01,193
Nevada,2023-05-01,111
Mississippi,2024-12-01,168
Massachusetts,2023-08-01,352
Oregon,2022-12-01,747
Alaska,2026-03-01,188
New Jersey,2025-05-01,252
Ohio,2023-02-01,84
New Jersey,2024-08-01,177
Ohio,2023-09-01,112
Nevada,2024-11-01,116
Alaska,2022-10-01,161
Delaware,2024-03-01,13
Arizona,2022-10-01,152
Alberta,2024-10-01,736
West Virginia,2024-09-01,62
New Jersey,2022-11-01,40
Florida,2022-10-01,530
Florida,2024-02-01,636
Oregon,2024-12-01,707
Massachusetts,2025-02-01,405
Maine,2025-10-01,231
Alaska,2024-08-01,180
Massachusetts,2024-05-01,386
Arkansas,2025-08-01,39
Maine,2023-01-01,274
Maryland,2024-04-01,101
Mississippi,2023-07-01,107
West Virginia,2024-04-01,62
Newfoundland and Labrador,2025-08-01,44
Texas,2025-12-01,11
New Jersey,2022-10-01,36
Alaska,2025-04-01,186
Vermont,2025-01-01,97
New Jersey,2023-12-01,100
District of Columbia,2024-06-01,19
South Dakota,2023-01-01,44
Utah,2024-04-01,18
Utah,2023-04-01,18
Georgia,2025-06-01,5
Maryland,2023-04-01,99
Utah,2024-12-01,18
Utah,2024-11-01,18
Utah,2025-09-01,18
Virginia,2022-09-01,14
Texas,2025-07-01,11
New Brunswick,2023-04-01,21
Nova Scotia,2025-08-01,17
Rhode Island,2023-07-01,8
Delaware,2024-07-01,13
Nova Scotia,2024-12-01,16
Iowa,2023-10-01,5
North Dakota,2023-07-01,8
Delaware,2025-08-01,14
Rhode Island,2024-09-01,8
New Hampshire,2025-10-01,8
Iowa,2023-03-01,5
Texas,2024-05-01,5
South Carolina,2024-06-01,1
North Carolina,2024-07-01,1
Ontario,2023-01-01,1622
Ontario,2024-04-01,1645
Pennsylvania,2023-08-01,183
Massachusetts,2026-02-01,424
