STATE,SALES_MONTH,COUNT(DISTINCT( MASTER_ID))
Oklahoma,2022-09-01,1802
California,2022-09-01,1528
Connecticut,2022-09-01,21
Utah,2022-09-01,17
Nunavut,2022-09-01,2
Alberta,2022-09-01,752
New Jersey,2022-09-01,33
Hawaii,2022-09-01,19
Iowa,2022-09-01,5
North Dakota,2022-09-01,8
Nevada,2022-09-01,109
British Columbia,2022-09-01,438
Vermont,2022-09-01,11
Colorado,2022-09-01,747
Arkansas,2022-09-01,41
South Dakota,2022-09-01,11
Montana,2022-09-01,352
South Carolina,2022-09-01,1
Washington,2022-09-01,480
Minnesota,2022-09-01,12
New York,2022-09-01,82
Nova Scotia,2022-09-01,12
Puerto Rico,2022-09-01,229
Virginia,2022-09-01,13
Arizona,2022-09-01,147
Missouri,2022-09-01,190
Saskatchewan,2022-09-01,104
Yukon,2022-09-01,5
New Brunswick,2022-09-01,31
New Mexico,2022-09-01,329
Oregon,2022-09-01,761
New Hampshire,2022-09-01,7
West Virginia,2022-09-01,41
Texas,2022-09-01,7
Newfoundland and Labrador,2022-09-01,40
Illinois,2022-09-01,112
Massachusetts,2022-09-01,310
District of Columbia,2022-09-01,18
Ontario,2022-09-01,1573
Maryland,2022-09-01,110
Florida,2022-09-01,527
Louisiana,2022-09-01,10
Rhode Island,2022-09-01,4
Mississippi,2022-09-01,5
Michigan,2022-09-01,639
Delaware,2022-09-01,9
Manitoba,2022-09-01,101
Pennsylvania,2022-09-01,169
Ohio,2022-09-01,64
Maine,2022-09-01,274
Northern Mariana Islands,2022-09-01,1
Alaska,2022-09-01,161
Texas,2022-10-01,7
Nova Scotia,2022-10-01,12
Ontario,2022-10-01,1595
Montana,2022-10-01,356
Colorado,2022-10-01,743
West Virginia,2022-10-01,44
North Dakota,2022-10-01,8
Utah,2022-10-01,17
South Carolina,2022-10-01,1
Arizona,2022-10-01,152
Maine,2022-10-01,278
Nunavut,2022-10-01,2
Ohio,2022-10-01,65
Michigan,2022-10-01,649
Virginia,2022-10-01,14
Vermont,2022-10-01,22
British Columbia,2022-10-01,439
Oklahoma,2022-10-01,1822
Puerto Rico,2022-10-01,233
Mississippi,2022-10-01,7
New York,2022-10-01,83
Massachusetts,2022-10-01,317
Manitoba,2022-10-01,103
Missouri,2022-10-01,194
Arkansas,2022-10-01,41
Iowa,2022-10-01,5
Yukon,2022-10-01,6
District of Columbia,2022-10-01,21
Saskatchewan,2022-10-01,106
Washington,2022-10-01,479
New Brunswick,2022-10-01,33
South Dakota,2022-10-01,21
Northern Mariana Islands,2022-10-01,1
Connecticut,2022-10-01,21
California,2022-10-01,1551
Minnesota,2022-10-01,12
Delaware,2022-10-01,9
Alaska,2022-10-01,161
Pennsylvania,2022-10-01,171
Illinois,2022-10-01,110
Oregon,2022-10-01,763
Maryland,2022-10-01,112
Newfoundland and Labrador,2022-10-01,42
New Jersey,2022-10-01,36
Louisiana,2022-10-01,10
Alberta,2022-10-01,766
Rhode Island,2022-10-01,5
New Hampshire,2022-10-01,7
Nevada,2022-10-01,109
Florida,2022-10-01,530
New Mexico,2022-10-01,350
Hawaii,2022-10-01,19
Washington,2022-11-01,476
South Dakota,2022-11-01,31
Massachusetts,2022-11-01,327
Arkansas,2022-11-01,41
Illinois,2022-11-01,115
Connecticut,2022-11-01,21
Manitoba,2022-11-01,102
Maryland,2022-11-01,113
Texas,2022-11-01,7
Michigan,2022-11-01,667
Oregon,2022-11-01,762
New Hampshire,2022-11-01,7
Nunavut,2022-11-01,2
Ontario,2022-11-01,1594
Saskatchewan,2022-11-01,105
Northern Mariana Islands,2022-11-01,1
South Carolina,2022-11-01,1
Minnesota,2022-11-01,12
New Jersey,2022-11-01,40
Louisiana,2022-11-01,10
West Virginia,2022-11-01,49
Nova Scotia,2022-11-01,12
Iowa,2022-11-01,5
Arizona,2022-11-01,158
British Columbia,2022-11-01,438
Utah,2022-11-01,17
Alaska,2022-11-01,161
New York,2022-11-01,83
Oklahoma,2022-11-01,1849
Rhode Island,2022-11-01,5
Missouri,2022-11-01,195
Colorado,2022-11-01,741
Pennsylvania,2022-11-01,174
Delaware,2022-11-01,10
Hawaii,2022-11-01,20
Mississippi,2022-11-01,25
Montana,2022-11-01,368
Maine,2022-11-01,284
New Mexico,2022-11-01,403
Yukon,2022-11-01,6
California,2022-11-01,1571
Florida,2022-11-01,558
Vermont,2022-11-01,34
Ohio,2022-11-01,68
Virginia,2022-11-01,14
District of Columbia,2022-11-01,21
North Dakota,2022-11-01,8
Newfoundland and Labrador,2022-11-01,43
Puerto Rico,2022-11-01,258
Nevada,2022-11-01,110
New Brunswick,2022-11-01,33
Alberta,2022-11-01,720
Nevada,2022-12-01,110
Maine,2022-12-01,283
Connecticut,2022-12-01,21
Michigan,2022-12-01,675
Missouri,2022-12-01,196
District of Columbia,2022-12-01,21
Delaware,2022-12-01,10
Alberta,2022-12-01,717
Texas,2022-12-01,8
North Dakota,2022-12-01,8
Northern Mariana Islands,2022-12-01,1
Iowa,2022-12-01,5
Utah,2022-12-01,17
California,2022-12-01,1586
Maryland,2022-12-01,112
New Jersey,2022-12-01,46
Manitoba,2022-12-01,98
Arizona,2022-12-01,159
Saskatchewan,2022-12-01,106
Minnesota,2022-12-01,12
Pennsylvania,2022-12-01,174
Rhode Island,2022-12-01,7
Ohio,2022-12-01,72
British Columbia,2022-12-01,424
Alaska,2022-12-01,162
Arkansas,2022-12-01,41
Montana,2022-12-01,371
West Virginia,2022-12-01,49
South Carolina,2022-12-01,1
Louisiana,2022-12-01,10
Newfoundland and Labrador,2022-12-01,43
New York,2022-12-01,85
New Brunswick,2022-12-01,33
Nunavut,2022-12-01,2
Oregon,2022-12-01,747
Massachusetts,2022-12-01,332
