STATE,SALES_MONTH,STATE_PRICE
South Carolina,2022-11-01,0.00000000
Nova Scotia,2024-03-01,0.00000000
Texas,2026-01-01,0.00000000
South Carolina,2023-07-01,0.00000000
Northern Mariana Islands,2023-05-01,0.00000000
South Carolina,2023-08-01,0.00000000
Quebec,2023-12-01,0.00000000
Northern Mariana Islands,2023-01-01,0.00000000
Quebec,2023-11-01,0.00000000
South Carolina,2023-11-01,0.00000000
Northern Mariana Islands,2023-07-01,0.00000000
South Carolina,2023-03-01,0.00000000
South Carolina,2023-01-01,0.00000000
Northern Mariana Islands,2023-10-01,0.00000000
Tennessee,2026-05-01,0.00000000
South Carolina,2023-04-01,0.00000000
Northern Mariana Islands,2022-12-01,0.00000000
Northern Mariana Islands,2024-01-01,0.00000000
Northern Mariana Islands,2023-09-01,0.00000000
Quebec,2024-01-01,0.00000000
South Carolina,2022-10-01,0.00000000
South Carolina,2024-01-01,0.00000000
Quebec,2024-02-01,0.00000000
Northern Mariana Islands,2023-03-01,0.00000000
Northern Mariana Islands,2023-06-01,0.00000000
Nova Scotia,2024-04-01,0.00000000
South Carolina,2023-12-01,0.00000000
South Carolina,2023-02-01,0.00000000
Northern Mariana Islands,2023-12-01,0.00000000
Nova Scotia,2024-05-01,0.00000000
Quebec,2023-10-01,0.00000000
Tennessee,2026-04-01,0.00000000
Northern Mariana Islands,2023-02-01,0.00000000
Northern Mariana Islands,2023-11-01,0.00000000
Northern Mariana Islands,2022-10-01,0.00000000
South Carolina,2023-09-01,0.00000000
South Carolina,2023-06-01,0.00000000
South Carolina,2023-10-01,0.00000000
South Carolina,2023-05-01,0.00000000
Northern Mariana Islands,2022-11-01,0.00000000
South Carolina,2022-09-01,0.00000000
Northern Mariana Islands,2023-08-01,0.00000000
Northern Mariana Islands,2023-04-01,0.00000000
South Carolina,2022-12-01,0.00000000
Northern Mariana Islands,2022-09-01,0.00000000
Nova Scotia,2024-06-01,0.00000000
New Hampshire,2023-01-01,0.19128000
New Hampshire,2023-02-01,0.27042857
New Hampshire,2024-03-01,0.27143498
New Hampshire,2023-10-01,0.29259615
New Hampshire,2023-09-01,0.40789216
New Hampshire,2024-02-01,0.43592593
Yukon,2025-06-01,0.82836364
Yukon,2025-10-01,0.82836364
Yukon,2024-09-01,0.82836364
Yukon,2024-06-01,0.82836364
Yukon,2024-12-01,0.82836364
Yukon,2024-07-01,0.82836364
Yukon,2024-03-01,0.82836364
Yukon,2024-05-01,0.82836364
Yukon,2025-08-01,0.82836364
Yukon,2024-08-01,0.82836364
Yukon,2024-11-01,0.82836364
Yukon,2026-02-01,0.82836364
Yukon,2025-05-01,0.82836364
Yukon,2025-02-01,0.82836364
Yukon,2025-11-01,0.82836364
Yukon,2025-09-01,0.82836364
Yukon,2026-05-01,0.82836364
Yukon,2025-12-01,0.82836364
Yukon,2026-01-01,0.82836364
Yukon,2024-04-01,0.82836364
Yukon,2025-03-01,0.82836364
Yukon,2026-03-01,0.82836364
Yukon,2025-01-01,0.82836364
Yukon,2026-04-01,0.82836364
Yukon,2025-07-01,0.82836364
Yukon,2025-04-01,0.82836364
Yukon,2024-02-01,0.82836364
Yukon,2024-10-01,0.82836364
New Hampshire,2026-05-01,0.98793651
Nova Scotia,2024-07-01,0.99197740
Yukon,2024-01-01,1.08781818
Yukon,2023-12-01,1.23418182
New Hampshire,2026-04-01,1.39863014
New Hampshire,2026-03-01,1.51812081
Alaska,2022-10-01,1.72362317
Alaska,2022-09-01,1.72842028
New Hampshire,2023-05-01,1.80058824
New Hampshire,2022-12-01,1.93440299
Yukon,2023-11-01,1.97236364
New Hampshire,2025-09-01,1.98619718
New Hampshire,2022-11-01,2.08179310
New Hampshire,2022-10-01,2.11740260
Nova Scotia,2025-07-01,2.24907336
Puerto Rico,2026-03-01,2.28144470
Puerto Rico,2026-05-01,2.28774763
New Hampshire,2024-01-01,2.29738776
Puerto Rico,2026-04-01,2.41308380
Nova Scotia,2025-06-01,2.43619247
Saskatchewan,2026-02-01,2.51552745
Puerto Rico,2026-02-01,2.53290411
New Hampshire,2025-01-01,2.56529730
Nova Scotia,2025-08-01,2.66232877
New Hampshire,2025-06-01,2.73152672
New Hampshire,2025-08-01,2.73329193
Saskatchewan,2026-04-01,2.73689576
Saskatchewan,2026-03-01,2.73872294
Saskatchewan,2026-05-01,2.75438196
New Hampshire,2025-05-01,2.77226027
Saskatchewan,2025-11-01,2.77797607
Saskatchewan,2026-01-01,2.79313151
Saskatchewan,2025-12-01,2.81179127
New Hampshire,2023-03-01,2.81848921
New Hampshire,2025-02-01,2.82335052
Montana,2022-10-01,2.83052070
Saskatchewan,2025-08-01,2.84365385
New Hampshire,2023-12-01,2.86362869
Saskatchewan,2025-09-01,2.87004902
Puerto Rico,2026-01-01,2.87667076
New Hampshire,2024-06-01,2.88267606
New Hampshire,2025-03-01,2.89218085
