STATE,SALES_MONTH,STATE_PRICE
Northern Mariana Islands,2023-04-01,0.00000000
Northern Mariana Islands,2022-11-01,0.00000000
Northern Mariana Islands,2023-10-01,0.00000000
South Carolina,2023-08-01,0.00000000
South Carolina,2022-12-01,0.00000000
South Carolina,2023-11-01,0.00000000
South Carolina,2023-12-01,0.00000000
Quebec,2024-02-01,0.00000000
Northern Mariana Islands,2022-10-01,0.00000000
Northern Mariana Islands,2022-12-01,0.00000000
South Carolina,2023-01-01,0.00000000
South Carolina,2023-09-01,0.00000000
Quebec,2023-11-01,0.00000000
Northern Mariana Islands,2023-03-01,0.00000000
Quebec,2023-12-01,0.00000000
South Carolina,2023-06-01,0.00000000
South Carolina,2023-05-01,0.00000000
Quebec,2024-01-01,0.00000000
Northern Mariana Islands,2023-02-01,0.00000000
Northern Mariana Islands,2023-05-01,0.00000000
Northern Mariana Islands,2023-11-01,0.00000000
Northern Mariana Islands,2022-09-01,0.00000000
South Carolina,2023-07-01,0.00000000
Northern Mariana Islands,2023-09-01,0.00000000
Northern Mariana Islands,2023-12-01,0.00000000
South Carolina,2022-10-01,0.00000000
Northern Mariana Islands,2023-07-01,0.00000000
Northern Mariana Islands,2024-01-01,0.00000000
South Carolina,2022-09-01,0.00000000
South Carolina,2023-03-01,0.00000000
Northern Mariana Islands,2023-01-01,0.00000000
South Carolina,2023-04-01,0.00000000
South Carolina,2023-10-01,0.00000000
Northern Mariana Islands,2023-06-01,0.00000000
Quebec,2023-10-01,0.00000000
South Carolina,2023-02-01,0.00000000
South Carolina,2024-01-01,0.00000000
South Carolina,2022-11-01,0.00000000
Northern Mariana Islands,2023-08-01,0.00000000
New Hampshire,2023-01-01,0.19128000
New Hampshire,2023-02-01,0.27042857
New Hampshire,2024-03-01,0.27143498
New Hampshire,2023-10-01,0.29259615
New Hampshire,2023-09-01,0.40857843
New Hampshire,2024-02-01,0.43728395
Yukon,2025-05-01,0.82836364
Yukon,2024-07-01,0.82836364
Yukon,2026-01-01,0.82836364
Yukon,2025-11-01,0.82836364
Yukon,2024-05-01,0.82836364
Yukon,2024-11-01,0.82836364
Yukon,2024-10-01,0.82836364
Yukon,2024-09-01,0.82836364
Yukon,2025-12-01,0.82836364
Yukon,2025-06-01,0.82836364
