STATE,SALES_MONTH,TOTAL_DOLLARS
Montana,2022-09-01,5149648.19
Iowa,2022-09-01,469838.26
Maryland,2022-09-01,40846155.68
Maine,2022-09-01,28051075.65
Yukon,2022-09-01,647261.12
Utah,2022-09-01,5422122.78
North Dakota,2022-09-01,1303778.76
Colorado,2022-09-01,153626670.11
Saskatchewan,2022-09-01,12514567.62
California,2022-09-01,363935674.28
Michigan,2022-09-01,213469693.62
Connecticut,2022-09-01,12052973.12
Northern Mariana Islands,2022-09-01,0.00
Vermont,2022-09-01,1003315.71
Minnesota,2022-09-01,1864489.65
Oregon,2022-09-01,81126901.17
Illinois,2022-09-01,125024190.28
Arizona,2022-09-01,110223161.53
Washington,2022-09-01,90012747.57
New Brunswick,2022-09-01,2692394.01
Nunavut,2022-09-01,394346.25
Florida,2022-09-01,150033379.08
Manitoba,2022-09-01,13872076.74
Virginia,2022-09-01,3602608.68
New York,2022-09-01,14353160.09
District of Columbia,2022-09-01,4448549.63
Texas,2022-09-01,775030.18
Nova Scotia,2022-09-01,31527.59
Puerto Rico,2022-09-01,10830075.33
Louisiana,2022-09-01,281417.18
New Mexico,2022-09-01,38937447.83
Hawaii,2022-09-01,3339069.69
Delaware,2022-09-01,2440409.83
Massachusetts,2022-09-01,151367095.05
Nevada,2022-09-01,60981525.35
New Jersey,2022-09-01,38049650.76
Oklahoma,2022-09-01,156214899.97
South Carolina,2022-09-01,0.00
Rhode Island,2022-09-01,493729.84
Missouri,2022-09-01,34289509.37
Ontario,2022-09-01,162074485.85
New Hampshire,2022-09-01,976819.43
Pennsylvania,2022-09-01,64063736.11
Arkansas,2022-09-01,23999937.97
Ohio,2022-09-01,39647708.13
Alaska,2022-09-01,1729916.05
Mississippi,2022-09-01,518805.29
West Virginia,2022-09-01,3261644.61
British Columbia,2022-09-01,64000106.17
Newfoundland and Labrador,2022-09-01,4034235.80
South Dakota,2022-09-01,1690070.52
Alberta,2022-09-01,73240346.50
New Jersey,2022-10-01,40360016.69
Oregon,2022-10-01,77054934.14
Pennsylvania,2022-10-01,83150637.19
Nunavut,2022-10-01,440760.08
Oklahoma,2022-10-01,156058200.46
Puerto Rico,2022-10-01,11709713.84
Ontario,2022-10-01,160263838.53
New York,2022-10-01,18506586.11
Maine,2022-10-01,24098317.14
Vermont,2022-10-01,3624772.66
Utah,2022-10-01,7345372.73
Alberta,2022-10-01,75274167.11
Hawaii,2022-10-01,2891073.64
Massachusetts,2022-10-01,150798401.24
District of Columbia,2022-10-01,3822847.03
Nevada,2022-10-01,68032082.21
Washington,2022-10-01,83390761.91
North Dakota,2022-10-01,1347439.32
Arizona,2022-10-01,111306156.63
California,2022-10-01,371696015.78
South Carolina,2022-10-01,0.00
Virginia,2022-10-01,6140715.20
Mississippi,2022-10-01,615920.54
Michigan,2022-10-01,210946561.12
Minnesota,2022-10-01,2181996.53
Arkansas,2022-10-01,23496980.50
Texas,2022-10-01,702762.10
Missouri,2022-10-01,35677067.37
Nova Scotia,2022-10-01,31527.65
Illinois,2022-10-01,129172374.88
Louisiana,2022-10-01,1859583.39
West Virginia,2022-10-01,4408160.33
South Dakota,2022-10-01,2377720.89
Florida,2022-10-01,150279905.05
Colorado,2022-10-01,148486612.95
Ohio,2022-10-01,39871369.44
Iowa,2022-10-01,463483.10
Delaware,2022-10-01,2671817.48
Newfoundland and Labrador,2022-10-01,4154437.19
Connecticut,2022-10-01,18723289.89
New Brunswick,2022-10-01,2997324.57
Maryland,2022-10-01,40020320.87
New Hampshire,2022-10-01,942475.57
Northern Mariana Islands,2022-10-01,0.00
Alaska,2022-10-01,1729927.90
Rhode Island,2022-10-01,2425872.87
British Columbia,2022-10-01,60031272.99
Saskatchewan,2022-10-01,13186856.90
Yukon,2022-10-01,743451.70
Manitoba,2022-10-01,14061836.44
Montana,2022-10-01,5129657.51
New Mexico,2022-10-01,38933665.52
Yukon,2022-11-01,836610.50
Saskatchewan,2022-11-01,12067658.10
Ohio,2022-11-01,39505826.89
Virginia,2022-11-01,6911073.03
California,2022-11-01,362564671.33
Ontario,2022-11-01,154950184.29
Newfoundland and Labrador,2022-11-01,4011293.03
British Columbia,2022-11-01,57382773.82
New Mexico,2022-11-01,39042115.14
Washington,2022-11-01,77304280.91
Nova Scotia,2022-11-01,32817.43
Alaska,2022-11-01,17750078.81
New Hampshire,2022-11-01,868030.35
South Carolina,2022-11-01,0.00
Mississippi,2022-11-01,1537108.61
Maryland,2022-11-01,39617374.18
Oregon,2022-11-01,80971487.58
Nevada,2022-11-01,67207439.64
New Jersey,2022-11-01,43438582.67
Alberta,2022-11-01,70602970.37
Missouri,2022-11-01,35874723.54
Arkansas,2022-11-01,23310527.32
Oklahoma,2022-11-01,141519665.67
District of Columbia,2022-11-01,4147337.47
North Dakota,2022-11-01,1397670.46
Montana,2022-11-01,25290267.79
New Brunswick,2022-11-01,2821795.53
Puerto Rico,2022-11-01,15432634.83
Vermont,2022-11-01,4664282.42
Louisiana,2022-11-01,1799921.81
Pennsylvania,2022-11-01,88316324.35
Minnesota,2022-11-01,2138626.33
Nunavut,2022-11-01,485570.41
Florida,2022-11-01,156625670.59
Michigan,2022-11-01,204814144.59
Massachusetts,2022-11-01,145565683.26
South Dakota,2022-11-01,2979015.97
Hawaii,2022-11-01,2945641.19
Utah,2022-11-01,7434125.63
Texas,2022-11-01,646577.30
Connecticut,2022-11-01,18363121.96
West Virginia,2022-11-01,4716957.17
Rhode Island,2022-11-01,2926119.49
Maine,2022-11-01,25814275.32
New York,2022-11-01,18188956.48
Northern Mariana Islands,2022-11-01,0.00
Delaware,2022-11-01,2790862.24
Manitoba,2022-11-01,13423607.69
Colorado,2022-11-01,136372992.32
Illinois,2022-11-01,129358571.28
Arizona,2022-11-01,115407155.29
Iowa,2022-11-01,442450.69
New Brunswick,2022-12-01,3082009.10
Florida,2022-12-01,157073891.75
Maine,2022-12-01,25043196.40
New Hampshire,2022-12-01,897506.24
Minnesota,2022-12-01,2282950.38
Ohio,2022-12-01,41498451.56
Nova Scotia,2022-12-01,32797.22
New Mexico,2022-12-01,43615877.37
British Columbia,2022-12-01,65225277.78
Yukon,2022-12-01,840723.89
Colorado,2022-12-01,145775548.84
Massachusetts,2022-12-01,156982260.45
Washington,2022-12-01,74054692.72
Nevada,2022-12-01,63922908.50
South Carolina,2022-12-01,0.00
Texas,2022-12-01,729775.14
Saskatchewan,2022-12-01,13099490.87
Virginia,2022-12-01,8378380.43
Alberta,2022-12-01,78450417.34
Mississippi,2022-12-01,2197842.97
West Virginia,2022-12-01,4429306.26
Puerto Rico,2022-12-01,15784456.63
Delaware,2022-12-01,2824805.64
New Jersey,2022-12-01,43449962.56
New York,2022-12-01,18890644.93
Rhode Island,2022-12-01,3090165.12
Illinois,2022-12-01,140793347.95
South Dakota,2022-12-01,3145392.51
Louisiana,2022-12-01,1622884.04
Hawaii,2022-12-01,3168351.34
Montana,2022-12-01,26427730.89
Oklahoma,2022-12-01,145523992.06
Utah,2022-12-01,7591742.83
Connecticut,2022-12-01,19004622.22
Oregon,2022-12-01,81257684.85
Missouri,2022-12-01,40606890.21
Vermont,2022-12-01,5710707.55
Manitoba,2022-12-01,13917037.32
Nunavut,2022-12-01,669158.93
Arizona,2022-12-01,126037714.89
Northern Mariana Islands,2022-12-01,0.00
North Dakota,2022-12-01,1387133.06
Michigan,2022-12-01,223315719.75
Newfoundland and Labrador,2022-12-01,4689295.10
California,2022-12-01,382015246.76
Iowa,2022-12-01,445934.93
Alaska,2022-12-01,17835379.33
Maryland,2022-12-01,41341456.95
Arkansas,2022-12-01,24434321.86
Pennsylvania,2022-12-01,92390913.36
District of Columbia,2022-12-01,4385224.22
Ontario,2022-12-01,178545334.94
Yukon,2023-01-01,883391.85
Delaware,2023-01-01,2874060.73
Michigan,2023-01-01,208821469.59
Colorado,2023-01-01,135704337.59
New Brunswick,2023-01-01,2842717.70
Maryland,2023-01-01,38291164.36
Florida,2023-01-01,150422607.19
Pennsylvania,2023-01-01,89453486.37
Washington,2023-01-01,73561647.33
New Mexico,2023-01-01,40590290.45
Ohio,2023-01-01,39731719.09
Nunavut,2023-01-01,666919.85
Illinois,2023-01-01,134298276.32
West Virginia,2023-01-01,5156037.23
Rhode Island,2023-01-01,3807768.12
District of Columbia,2023-01-01,3281033.61
Northern Mariana Islands,2023-01-01,0.00
Ontario,2023-01-01,170128096.80
Nevada,2023-01-01,67439137.09
Maine,2023-01-01,24137026.88
Manitoba,2023-01-01,11997582.27
Mississippi,2023-01-01,4440334.10
Arkansas,2023-01-01,23774223.77
Alberta,2023-01-01,73306196.22
New Jersey,2023-01-01,44086524.21
New York,2023-01-01,12424365.12
Vermont,2023-01-01,6168624.75
New Hampshire,2023-01-01,828913.86
Oklahoma,2023-01-01,134283986.32
Missouri,2023-01-01,37279893.23
British Columbia,2023-01-01,62478258.73
Virginia,2023-01-01,9655037.90
Iowa,2023-01-01,1226635.05
Louisiana,2023-01-01,1966605.16
Alaska,2023-01-01,18457843.68
Connecticut,2023-01-01,19369533.73
South Carolina,2023-01-01,0.00
Texas,2023-01-01,660042.04
Nova Scotia,2023-01-01,34629.17
South Dakota,2023-01-01,3249191.12
Massachusetts,2023-01-01,142050703.05
Saskatchewan,2023-01-01,12118713.63
Arizona,2023-01-01,116266338.56
Utah,2023-01-01,7951180.88
Oregon,2023-01-01,77330902.04
Minnesota,2023-01-01,2601443.27
Newfoundland and Labrador,2023-01-01,4333256.35
Montana,2023-01-01,25894344.59
California,2023-01-01,374628330.59
Puerto Rico,2023-01-01,21372875.72
North Dakota,2023-01-01,1241673.93
Hawaii,2023-01-01,3231434.93
Massachusetts,2023-02-01,135575648.13
South Carolina,2023-02-01,0.00
Newfoundland and Labrador,2023-02-01,3961762.92
Nova Scotia,2023-02-01,33540.76
Delaware,2023-02-01,3029259.30
Nevada,2023-02-01,63860932.21
Missouri,2023-02-01,103915563.97
New Brunswick,2023-02-01,2755865.18
Iowa,2023-02-01,1194233.17
Nunavut,2023-02-01,600316.30
New York,2023-02-01,13254199.88
Washington,2023-02-01,68608704.24
